?     1	(("n'", 'est'), ['ce', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_00908', '2', '3'), ('fr-ud-train_00995', '2', '3'), ('fr-ud-train_01334', '5', '6'), ('fr-ud-train_02558', '2', '3'), ('fr-ud-train_02887', '18', '19'), ('fr-ud-train_03316', '2', '3'), ('fr-ud-train_03548', '26', '27'), ('fr-ud-train_04546', '48', '49'), ('fr-ud-train_04650', '2', '3'), ('fr-ud-train_05611', '31', '32'), ('fr-ud-train_05790', '6', '7'), ('fr-ud-train_06701', '2', '3'), ('fr-ud-train_07709', '23', '24'), ('fr-ud-train_08048', '3', '4'), ('fr-ud-train_09857', '2', '3'), ('fr-ud-train_10945', '2', '3'), ('fr-ud-train_11021', '2', '3'), ('fr-ud-train_11774', '2', '3'), ('fr-ud-train_12360', '2', '3'), ('fr-ud-train_12577', '25', '26'), ('fr-ud-train_12870', '15', '16'), ('fr-ud-train_13067', '3', '4'), ('fr-ud-train_13716', '3', '4')], 'advmod - R': [('fr-ud-train_11770', 3, 4)]}
    27	(('est', 'pas'), ["n'", 0, 0, 'de'])	{'NIL': [('fr-ud-train_00908', '3', '4'), ('fr-ud-train_04546', '49', '50'), ('fr-ud-train_10154', '24', '25'), ('fr-ud-train_11917', '7', '8')], 'advmod - L': [('fr-ud-train_00080', 26, 27)]}
    28	(('est', 'pas'), ["n'", 0, 0, 'encore'])	{'NIL': [('fr-ud-train_02716', '21', '22'), ('fr-ud-train_06055', '7', '8'), ('fr-ud-train_09250', '5', '6')], 'advmod - L': [('fr-ud-train_00761', 28, 29)]}
    29	(('est', 'pas'), ["n'", 0, 0, 'à'])	{'NIL': [('fr-ud-train_09072', '5', '6'), ('fr-ud-train_14037', '4', '5')], 'advmod - L': [('fr-ud-train_11770', 4, 5)]}
    30	(("n'", 'a'), ['il', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_00737', '9', '10'), ('fr-ud-train_02164', '16', '17'), ('fr-ud-train_03308', '8', '9'), ('fr-ud-train_05052', '3', '4'), ('fr-ud-train_09182', '13', '14'), ('fr-ud-train_10203', '8', '9'), ('fr-ud-train_11276', '12', '13'), ('fr-ud-train_12547', '17', '18')], 'advmod - R': [('fr-ud-train_00575', 21, 22), ('fr-ud-train_02214', 2, 3), ('fr-ud-train_02857', 6, 7), ('fr-ud-train_09484', 9, 10), ('fr-ud-train_11233', 16, 17), ('fr-ud-train_13332', 7, 8)]}
    31	(("n'", 'a'), ['qui', 0, 0, 'plus'])	{'NIL': [('fr-ud-train_02045', '25', '26')], 'advmod - R': [('fr-ud-train_14024', 16, 17)]}
    32	(("n'", 'a'), ['il', 'y', 0, 'pas'])	{'NIL': [('fr-ud-train_02391', '8', '10'), ('fr-ud-train_03938', '18', '20'), ('fr-ud-train_10228', '7', '9')], 'advmod - R': [('fr-ud-train_00988', 9, 11), ('fr-ud-train_01064', 4, 6), ('fr-ud-train_02453', 22, 24), ('fr-ud-train_03331', 12, 14), ('fr-ud-train_03386', 4, 6), ('fr-ud-train_03698', 2, 4), ('fr-ud-train_04101', 12, 14), ('fr-ud-train_04877', 7, 9), ('fr-ud-train_04992', 2, 4), ('fr-ud-train_06024', 2, 4), ('fr-ud-train_06382', 9, 11), ('fr-ud-train_06950', 22, 24), ('fr-ud-train_08103', 2, 4), ('fr-ud-train_08188', 2, 4), ('fr-ud-train_10662', 19, 21), ('fr-ud-train_10862', 19, 21), ('fr-ud-train_11114', 9, 11), ('fr-ud-train_12148', 2, 4), ('fr-ud-train_12499', 2, 4), ('fr-ud-train_12828', 2, 4), ('fr-ud-train_13917', 11, 13)]}
    33	(("n'", 'a'), [',', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_02947', '9', '10'), ('fr-ud-train_04975', '21', '22'), ('fr-ud-train_06614', '7', '8'), ('fr-ud-train_07407', '9', '10')], 'advmod - R': [('fr-ud-train_13079', 7, 8)]}
    34	(("n'", 'a'), ['elle', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_04178', '20', '21'), ('fr-ud-train_10868', '6', '7')], 'advmod - R': [('fr-ud-train_13876', 20, 21)]}
    35	(("n'", 'a'), ['qui', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_04509', '4', '5'), ('fr-ud-train_09108', '12', '13'), ('fr-ud-train_12012', '27', '28')], 'advmod - R': [('fr-ud-train_06807', 16, 17), ('fr-ud-train_11671', 5, 6), ('fr-ud-train_11964', 17, 18), ('fr-ud-train_13886', 9, 10)]}
    36	(("n'", 'a'), ['il', 0, 0, 'plus'])	{'NIL': [('fr-ud-train_05738', '23', '24'), ('fr-ud-train_06103', '5', '6')], 'advmod - R': [('fr-ud-train_08455', 5, 6)]}
    37	(("n'", 'a'), ['on', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_09456', '5', '6'), ('fr-ud-train_10189', '8', '9')], 'advmod - R': [('fr-ud-train_07322', 2, 3), ('fr-ud-train_09534', 4, 5)]}
    38	(('y', 'a'), ['il', 0, 0, 'une'])	{'NIL': [('fr-ud-train_00245', '25', '26'), ('fr-ud-train_13722', '17', '18')], 'dep:comp - R': [('fr-ud-train_00220', 7, 8), ('fr-ud-train_03278', 8, 9), ('fr-ud-train_09400', 19, 20), ('fr-ud-train_10245', 8, 9), ('fr-ud-train_11378', 11, 12), ('fr-ud-train_12994', 14, 15), ('fr-ud-train_13716', 11, 12)]}
    39	(('y', 'a'), ["n'", 0, 0, 'pas'])	{'NIL': [('fr-ud-train_02391', '9', '10'), ('fr-ud-train_03938', '19', '20'), ('fr-ud-train_10228', '8', '9')], 'dep:comp - R': [('fr-ud-train_00988', 10, 11), ('fr-ud-train_01064', 5, 6), ('fr-ud-train_02453', 23, 24), ('fr-ud-train_03331', 13, 14), ('fr-ud-train_03386', 5, 6), ('fr-ud-train_03698', 3, 4), ('fr-ud-train_04101', 13, 14), ('fr-ud-train_04877', 8, 9), ('fr-ud-train_04992', 3, 4), ('fr-ud-train_06024', 3, 4), ('fr-ud-train_06382', 10, 11), ('fr-ud-train_06950', 23, 24), ('fr-ud-train_08103', 3, 4), ('fr-ud-train_08188', 3, 4), ('fr-ud-train_10662', 20, 21), ('fr-ud-train_10862', 20, 21), ('fr-ud-train_11114', 10, 11), ('fr-ud-train_12148', 3, 4), ('fr-ud-train_12499', 3, 4), ('fr-ud-train_12828', 3, 4), ('fr-ud-train_13917', 12, 13)]}
    40	(('y', 'a'), ['il', 0, 0, 'plus'])	{'NIL': [('fr-ud-train_03109', '2', '3')], 'dep:comp - R': [('fr-ud-train_07668', 32, 33), ('fr-ud-train_09206', 10, 11)]}
    41	(('y', 'a'), ['il', 0, 0, 'de'])	{'NIL': [('fr-ud-train_06435', '8', '9')], 'dep:comp - R': [('fr-ud-train_00088', 7, 8), ('fr-ud-train_01989', 9, 10), ('fr-ud-train_06057', 16, 17)]}
    42	(('y', 'a'), ['il', 0, 0, 'six'])	{'NIL': [('fr-ud-train_08208', '15', '16')], 'dep:comp - R': [('fr-ud-train_09819', 2, 3)]}
    43	(('y', 'a'), ['il', 0, 0, 'un'])	{'NIL': [('fr-ud-train_09062', '2', '3')], 'dep:comp - R': [('fr-ud-train_03149', 2, 3), ('fr-ud-train_11380', 14, 15), ('fr-ud-train_11412', 2, 3), ('fr-ud-train_13806', 2, 3)]}
    44	(('y', 'a'), ['il', 0, 0, 'deux'])	{'NIL': [('fr-ud-train_12908', '2', '3')], 'dep:comp - R': [('fr-ud-train_01426', 2, 3), ('fr-ud-train_02387', 2, 3), ('fr-ud-train_05495', 15, 16), ('fr-ud-train_08000', 3, 4)]}
    45	(('y', 'a'), ['il', 0, 0, 'encore'])	{'NIL': [('fr-ud-train_13426', '15', '16')], 'dep:comp - R': [('fr-ud-train_00308', 37, 38), ('fr-ud-train_08996', 10, 11)]}
    46	(('la', 'musique'), ['de', 0, 0, 'à'])	{'NIL': [('fr-ud-train_07990', '12', '13')], 'det - R': [('fr-ud-train_00699', 10, 11)]}
    47	(('il', 'a'), [0, 'y', 0, 'un'])	{'fixed - L': [('fr-ud-train_09062', 1, 3)], 'expl:subj - R': [('fr-ud-train_03149', 1, 3), ('fr-ud-train_11412', 1, 3), ('fr-ud-train_13806', 1, 3)]}
    48	(('il', 'a'), [0, 'y', 0, 'deux'])	{'fixed - L': [('fr-ud-train_12908', 1, 3)], 'expl:subj - R': [('fr-ud-train_01426', 1, 3), ('fr-ud-train_02387', 1, 3)]}
    49	(('il', 'a'), ["qu'", "n'", 0, 'pas'])	{'NIL': [('fr-ud-train_00737', '8', '10'), ('fr-ud-train_03308', '7', '9'), ('fr-ud-train_09182', '12', '14')], 'nsubj - R': [('fr-ud-train_09484', 8, 10), ('fr-ud-train_13332', 6, 8)]}
    50	(('il', 'a'), [',', "n'", 'y', 'pas'])	{'NIL': [('fr-ud-train_02391', '7', '10')], 'expl:subj - R': [('fr-ud-train_00988', 8, 11), ('fr-ud-train_02453', 21, 24), ('fr-ud-train_03331', 11, 14), ('fr-ud-train_04877', 6, 9), ('fr-ud-train_11114', 8, 11)]}
    51	(('il', 'a'), [0, 0, 0, 'également'])	{'NIL': [('fr-ud-train_02810', '1', '2'), ('fr-ud-train_03376', '1', '2'), ('fr-ud-train_06201', '1', '2'), ('fr-ud-train_08377', '1', '2'), ('fr-ud-train_09758', '1', '2'), ('fr-ud-train_11216', '1', '2')], 'nsubj - R': [('fr-ud-train_06522', 1, 2)]}
    52	(('il', 'a'), [0, 0, 0, 'aussi'])	{'NIL': [('fr-ud-train_03947', '1', '2'), ('fr-ud-train_06301', '1', '2'), ('fr-ud-train_07702', '1', '2'), ('fr-ud-train_07772', '1', '2')], 'nsubj - R': [('fr-ud-train_14056', 1, 2)]}
    53	(('il', 'a'), [',', 0, 0, 'ainsi'])	{'NIL': [('fr-ud-train_05450', '32', '33')], 'nsubj - R': [('fr-ud-train_11865', 69, 70)]}
    54	(('il', 'a'), [',', "n'", 0, 'plus'])	{'NIL': [('fr-ud-train_06103', '4', '6')], 'nsubj - R': [('fr-ud-train_08455', 4, 6)]}
    55	(('il', 'a'), ["qu'", "n'", 'y', 'pas'])	{'NIL': [('fr-ud-train_10228', '6', '9')], 'expl:subj - R': [('fr-ud-train_04101', 11, 14)]}
    56	(('le', 'sud'), ['à', 0, 0, '.'])	{'flat:name - L': [('fr-ud-train_09973', 19, 20)], 'det - R': [('fr-ud-train_01485', 16, 17), ('fr-ud-train_11146', 26, 27), ('fr-ud-train_12420', 28, 29), ('fr-ud-train_13715', 35, 36)]}
    57	(('%', 'voix'), ['39,9', 'de', 'les', ')'])	{'NIL': [('fr-ud-train_12489', '17', '31')], 'nmod - L': [('fr-ud-train_12489', 17, 20)]}
    58	(('privilège', 'passage'), ['un', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_00107', '15', '43')], 'nmod - L': [('fr-ud-train_00107', 15, 18)]}
    59	(('jours', 'tard'), ['deux', 'plus', 0, ','])	{'obl:mod - R': [('fr-ud-train_09926', 2, 4)], 'advmod - L': [('fr-ud-train_01442', 2, 4), ('fr-ud-train_12637', 2, 4)]}
    60	(('une', 'dizaine'), ['à', 0, 0, 'de'])	{'nummod - R': [('fr-ud-train_05455', 6, 7)], 'det - R': [('fr-ud-train_00470', 14, 15)]}
    61	(('une', 'dizaine'), ["d'", 0, 0, "d'"])	{'nummod - R': [('fr-ud-train_10848', 21, 22)], 'det - R': [('fr-ud-train_07365', 34, 35)]}
    62	(('la', 'suite'), ['par', 0, 0, ','])	{'NIL': [('fr-ud-train_04886', '23', '24')], 'det - R': [('fr-ud-train_00140', 13, 14), ('fr-ud-train_03444', 2, 3), ('fr-ud-train_04151', 2, 3), ('fr-ud-train_05063', 2, 3), ('fr-ud-train_06812', 2, 3), ('fr-ud-train_08025', 2, 3), ('fr-ud-train_08472', 8, 9), ('fr-ud-train_08496', 2, 3), ('fr-ud-train_13286', 22, 23), ('fr-ud-train_13866', 11, 12)]}
    63	(('il', 'suffit'), [',', 0, 0, 'de'])	{'expl:subj - R': [('fr-ud-train_10271', 8, 9)], 'nsubj - R': [('fr-ud-train_01265', 10, 11)]}
    64	(('située', 'département'), [',', 'dans', 'le', 'de'])	{'NIL': [('fr-ud-train_04932', '16', '24')], 'obl:arg - L': [('fr-ud-train_00256', 7, 10), ('fr-ud-train_00338', 7, 10), ('fr-ud-train_00946', 7, 10), ('fr-ud-train_01303', 12, 15), ('fr-ud-train_01595', 7, 10), ('fr-ud-train_01872', 7, 10), ('fr-ud-train_02158', 7, 10), ('fr-ud-train_02531', 7, 10), ('fr-ud-train_02997', 7, 10), ('fr-ud-train_03602', 7, 10), ('fr-ud-train_03681', 7, 10), ('fr-ud-train_03753', 7, 10), ('fr-ud-train_03782', 7, 10), ('fr-ud-train_04024', 7, 10), ('fr-ud-train_04559', 7, 10), ('fr-ud-train_05894', 7, 10), ('fr-ud-train_06061', 7, 10), ('fr-ud-train_07346', 11, 14), ('fr-ud-train_08189', 7, 10), ('fr-ud-train_08884', 7, 10), ('fr-ud-train_09303', 7, 10), ('fr-ud-train_09874', 7, 10), ('fr-ud-train_10480', 7, 10), ('fr-ud-train_10535', 12, 15), ('fr-ud-train_10550', 7, 10), ('fr-ud-train_11636', 7, 10), ('fr-ud-train_12053', 7, 10), ('fr-ud-train_12469', 7, 10), ('fr-ud-train_12493', 7, 10), ('fr-ud-train_13475', 7, 10), ('fr-ud-train_14081', 16, 19)]}
    65	(('festival', 'international'), ['le', 0, 0, 'de'])	{'appos - L': [('fr-ud-train_14053', 34, 35)], 'amod - L': [('fr-ud-train_00173', 26, 27), ('fr-ud-train_04618', 2, 3), ('fr-ud-train_08600', 14, 15), ('fr-ud-train_11764', 11, 12)]}
    66	(('exploration', 'espace'), ["l'", 'de', "l'", ','])	{'NIL': [('fr-ud-train_00176', '2', '20')], 'nmod - L': [('fr-ud-train_00176', 2, 5)]}
    67	(('retenus', 'ce'), ['étant', 'plus', 'pour', "qu'"])	{'NIL': [('fr-ud-train_00215', '29', '38')], 'obl:mod - L': [('fr-ud-train_00215', 29, 32)]}
    68	(('ce', "qu'"), ['pour', 0, 0, 'ils'])	{'NIL': [('fr-ud-train_00215', '32', '33')], 'acl:relcl - L': [('fr-ud-train_00215', 38, 39)]}
    69	(('elle', 'a'), ["qu'", "n'", 0, 'pas'])	{'NIL': [('fr-ud-train_04178', '19', '21')], 'nsubj - R': [('fr-ud-train_13876', 19, 21)]}
    70	(('1er', 'secteurs'), ['les', 'et', '2e', '.'])	{'NIL': [('fr-ud-train_00224', '13', '41')], 'amod - R': [('fr-ud-train_00224', 38, 41)]}
    71	(('fin', 'début'), ['la', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_03279', '3', '15')], 'conj - L': [('fr-ud-train_00226', 5, 12), ('fr-ud-train_01330', 2, 9), ('fr-ud-train_05515', 38, 46), ('fr-ud-train_13135', 15, 23)]}
    72	(('début', 'histoire'), ['le', 'de', "l'", 'de'])	{'NIL': [('fr-ud-train_13820', '2', '17')], 'nmod - L': [('fr-ud-train_13820', 2, 5)]}
    73	(('se', 'contente'), ['ne', 0, 0, 'pas'])	{'dep:comp - R': [('fr-ud-train_08115', 3, 4)], 'obj - R': [('fr-ud-train_00227', 5, 6)]}
    74	(('est', 'fait'), ['tout', 0, 0, 'pour'])	{'aux:tense - R': [('fr-ud-train_11695', 2, 3)], 'aux:pass - R': [('fr-ud-train_00228', 14, 15)]}
    75	(('à', 'plus'), [',', 'le', 0, 'fort'])	{'NIL': [('fr-ud-train_07116', '28', '30')], 'fixed - L': [('fr-ud-train_14504', 15, 17)]}
    76	(('absorbe', 'énergie'), ['puis', 'toute', "l'", 'mécanique'])	{'NIL': [('fr-ud-train_00232', '26', '38')], 'obj - L': [('fr-ud-train_00232', 26, 29)]}
    77	(('énergie', 'augmente'), ["l'", 'mécanique', "n'", 'à'])	{'NIL': [('fr-ud-train_00232', '29', '45')], 'nsubj - R': [('fr-ud-train_00232', 38, 45)]}
    78	(('de', 'pendule'), ['mécanique', 'le', 'premier', "n'"])	{'NIL': [('fr-ud-train_00232', '31', '43')], 'case - R': [('fr-ud-train_00232', 40, 43)]}
    79	(('il', 'interdit'), [0, 'est', 'donc', 'de'])	{'nsubj - R': [('fr-ud-train_12629', 1, 4)], 'expl:subj - R': [('fr-ud-train_08885', 1, 4)]}
    80	(('est', 'interdit'), ['il', 'donc', 0, 'de'])	{'aux:tense - R': [('fr-ud-train_12629', 2, 4)], 'aux:pass - R': [('fr-ud-train_08885', 2, 4)]}
    81	(('le', 'plus'), ['à', 0, 0, 'fort'])	{'NIL': [('fr-ud-train_14504', '16', '17')], 'fixed - L': [('fr-ud-train_07116', 29, 30)]}
